country_code,country_name,region,income_group
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income
FRA,France,Europe & Central Asia,High income
USA,United States,North America,High income
CHN,China,East Asia & Pacific,Upper middle income
BRA,Brazil,Latin America & Caribbean,Upper middle income
MAR,Morocco,Middle East & North Africa,Lower middle income
VNM,Vietnam,East Asia & Pacific,Lower middle income
SEN,Senegal,Sub-Saharan Africa,Lower middle income
DEU,Germany,Europe & Central Asia,High income
CAN,Canada,North America,High income
